agent_id,policy_id,ground_truth
100.0,ClimatePolicyID(2),1
100.0,ClimatePolicyID(3),0
100.0,ClimatePolicyID(4),3
100.0,ClimatePolicyID(5),3
100.0,ClimatePolicyID(6),0
1229.0,ClimatePolicyID(1),3
1229.0,ClimatePolicyID(2),-3
1229.0,ClimatePolicyID(3),2
1229.0,ClimatePolicyID(4),0
1229.0,ClimatePolicyID(5),2
1229.0,ClimatePolicyID(6),0
487.0,ClimatePolicyID(1),1
487.0,ClimatePolicyID(2),0
487.0,ClimatePolicyID(3),-2
487.0,ClimatePolicyID(4),1
487.0,ClimatePolicyID(5),1
487.0,ClimatePolicyID(6),-3
1005.0,ClimatePolicyID(1),3
1005.0,ClimatePolicyID(2),-1
1005.0,ClimatePolicyID(3),-1
1005.0,ClimatePolicyID(4),2
1005.0,ClimatePolicyID(5),1
1005.0,ClimatePolicyID(6),-1
1451.0,ClimatePolicyID(1),1
1451.0,ClimatePolicyID(2),-2
1451.0,ClimatePolicyID(3),2
1451.0,ClimatePolicyID(4),2
1451.0,ClimatePolicyID(5),1
1451.0,ClimatePolicyID(6),-3
1269.0,ClimatePolicyID(1),2
1269.0,ClimatePolicyID(2),0
1269.0,ClimatePolicyID(3),3
1269.0,ClimatePolicyID(4),3
1269.0,ClimatePolicyID(5),3
1269.0,ClimatePolicyID(6),2
1407.0,ClimatePolicyID(1),3
1407.0,ClimatePolicyID(2),3
1407.0,ClimatePolicyID(3),3
1407.0,ClimatePolicyID(4),3
1407.0,ClimatePolicyID(5),-2
1407.0,ClimatePolicyID(6),1
858.0,ClimatePolicyID(1),1
858.0,ClimatePolicyID(2),0
858.0,ClimatePolicyID(3),1
858.0,ClimatePolicyID(4),1
858.0,ClimatePolicyID(5),1
858.0,ClimatePolicyID(6),0
1406.0,ClimatePolicyID(1),3
1406.0,ClimatePolicyID(2),0
1406.0,ClimatePolicyID(3),-3
1406.0,ClimatePolicyID(4),2
1406.0,ClimatePolicyID(5),2
1406.0,ClimatePolicyID(6),-2
1103.0,ClimatePolicyID(1),3
1103.0,ClimatePolicyID(2),2
1103.0,ClimatePolicyID(3),2
1103.0,ClimatePolicyID(4),3
1103.0,ClimatePolicyID(5),2
1103.0,ClimatePolicyID(6),0
989.0,ClimatePolicyID(1),1
989.0,ClimatePolicyID(2),1
989.0,ClimatePolicyID(3),1
989.0,ClimatePolicyID(4),1
989.0,ClimatePolicyID(5),1
989.0,ClimatePolicyID(6),1
1431.0,ClimatePolicyID(1),1
1431.0,ClimatePolicyID(2),-3
1431.0,ClimatePolicyID(3),-3
1431.0,ClimatePolicyID(4),3
1431.0,ClimatePolicyID(5),-3
1431.0,ClimatePolicyID(6),-3
1311.0,ClimatePolicyID(1),2
1311.0,ClimatePolicyID(2),2
1311.0,ClimatePolicyID(3),-1
1311.0,ClimatePolicyID(4),3
1311.0,ClimatePolicyID(5),2
1311.0,ClimatePolicyID(6),3
1264.0,ClimatePolicyID(1),3
1264.0,ClimatePolicyID(2),0
1264.0,ClimatePolicyID(3),-3
1264.0,ClimatePolicyID(4),3
1264.0,ClimatePolicyID(5),1
1264.0,ClimatePolicyID(6),-2
468.0,ClimatePolicyID(1),0
468.0,ClimatePolicyID(2),0
468.0,ClimatePolicyID(3),-2
468.0,ClimatePolicyID(4),1
468.0,ClimatePolicyID(5),-2
468.0,ClimatePolicyID(6),0
331.0,ClimatePolicyID(1),3
331.0,ClimatePolicyID(2),3
331.0,ClimatePolicyID(3),3
331.0,ClimatePolicyID(4),3
331.0,ClimatePolicyID(5),3
331.0,ClimatePolicyID(6),3
1729.0,ClimatePolicyID(1),2
1729.0,ClimatePolicyID(2),3
1729.0,ClimatePolicyID(3),1
1729.0,ClimatePolicyID(4),2
1729.0,ClimatePolicyID(5),1
1729.0,ClimatePolicyID(6),2
848.0,ClimatePolicyID(1),-2
848.0,ClimatePolicyID(2),-3
848.0,ClimatePolicyID(3),-3
848.0,ClimatePolicyID(4),-3
848.0,ClimatePolicyID(5),-3
848.0,ClimatePolicyID(6),-3
934.0,ClimatePolicyID(1),-2
934.0,ClimatePolicyID(2),-3
934.0,ClimatePolicyID(3),-3
934.0,ClimatePolicyID(4),-2
934.0,ClimatePolicyID(5),-3
934.0,ClimatePolicyID(6),-3
1304.0,ClimatePolicyID(1),3
1304.0,ClimatePolicyID(2),2
1304.0,ClimatePolicyID(3),1
1304.0,ClimatePolicyID(4),3
1304.0,ClimatePolicyID(5),1
1304.0,ClimatePolicyID(6),1
363.0,ClimatePolicyID(1),1
363.0,ClimatePolicyID(2),0
363.0,ClimatePolicyID(3),-2
363.0,ClimatePolicyID(4),3
363.0,ClimatePolicyID(5),0
363.0,ClimatePolicyID(6),-3
