ID,age,male_dummy,tprofile_GOR,profile_education_level,tprofile_gross_household,ethnicity_R,tparent_1,tparent_2,parent_dummy,Vote2019R,pastvote_EURef,new_socgrade,Political_Left_Right,W8,page2values1_1,page2values1_2,page2values1_3,page2values1_4,page2values1_5,page2values1_6,page2values1_7,page2values1_8,page2values1_9,page2values1a_1,page2values1a_2,page2values1a_3,page2values1a_4,page2values1a_5,page2values1a_6,page2values1a_7,page2values1a_8,page2values1a_9,page3_splitgroups,page3vid_control,page3vid_threat,page3vid_hope,page3vid_justice,ClimateAngerLeaders,ClimateAngerPeople,ClimateWorry,ClimateHope,page4posttreatment2_1,page4posttreatment2_2,page4posttreatment2_3,page4posttreatment2_4,page4posttreatment2_5,page4posttreatment2_6,page4posttreatment3_1,page4posttreatment3_2,page4posttreatment3_3,page4posttreatment3_4,page4posttreatment3_5,page4posttreatment3_6,page4posttreatment3_7,page4posttreatment3_8,page4posttreatment3_9,page4posttreatment3_10,page4posttreatment3_11,page4posttreatment3_12,page4posttreatment3_13,page4posttreatment3_14,page4posttreatment3_15,page4posttreatment3_16,page4posttreatment3_17,page4posttreatment3_18,page4posttreatment3_19,page4posttreatment3_20,page4posttreatment5_1,page4posttreatment5_2,page4posttreatment5_3,SecureClimateNiche,DemocracyForClimate,AuthoritarianClimateAction,page5posttreatment6_1,page5posttreatment6_2,page5posttreatment6_3,page5posttreatment6_4,page5posttreatment6_5,page5posttreatment6_6,page5posttreatment6_7,page5posttreatment6_8,page5posttreatment6_9,page5posttreatment6_10,page5posttreatment6_11,page5posttreatment6_12,page5posttreatment7_1,page5posttreatment7_2,page5posttreatment7_3,page5posttreatment7_4,page5posttreatment7_5,page5posttreatment7_6,page5posttreatment7_7,page5posttreatment7_8,NoPoliticalEfficacy,page6posttreatment8_2,page6posttreatment8_3,TrustStrangers,TrustGovernment,TrustParliament,page6posttreatment10_1,page6posttreatment10_2,page6posttreatment10_3,page6posttreatment10_4,page6posttreatment10_5,page6posttreatment10_6,page6posttreatment11_1,page6posttreatment11_2,page6posttreatment11_3,page6posttreatment11_4,page6posttreatment11_5,ChildFutureConcerns,academic_dummy,white_dummy,Selfenh_Values,Altr_values,Biosph_values,ConformTrad,Openness,Selftransc_Val,Author_Val,Domin_Val,Power_Values,page4posttreatment2_5r,page4posttreatment2_6r,EDO,page4posttreatment3_15r,page4posttreatment3_16r,page4posttreatment3_19r,page4posttreatment3_20r,SDO,page4posttreatment3_3r,page4posttreatment3_4r,page4posttreatment3_7r,page4posttreatment3_8r,page4posttreatment3_11r,page4posttreatment3_12r,Submission,Tradition,Aggression,RWA,EcoFasc1,ProClimatePolSupp,AntiClimatePolSupp,Meat_Dairy_D,Avoid_Car_D,Consume_Less_D,Fly_Less_D,Contact_MP_D,Influence_Others_D,No_ClimateAction_D,PersClimateAction,page6posttreatment10_1r,page6posttreatment10_2r,page6posttreatment10_3r,page6posttreatment10_4r,page6posttreatment10_5r,page6posttreatment10_6r,SufficiencyNorms,Anomie,AntiFossilFuelNorms,WorryMinusHope
17,52,0,11,9,2,1,2,2,0,1,2,2,5,1.13200295,4,4,4,4,6,4,4,2,1,1,3,4,2,6,2,1,1,2,3,0,0,1,0,9,6,9,6,1,4,4,4,4,5,1,1,7,5,4,7,7,4,7,7,2,3,4,4,7,7,4,4,4,6,5,7,4,4,7,5,4,6,6,4,2,7,2,4,4,6,1,6,1,2,1,1,2,2,2,2,7,4,7,0,1,0,5,5,5,5,5,5,1,6,4,7,4,7,0,1,1.25,4,4,3,3.5,4,-0.5,-2.75,1.5,4,3,3.333333333,1,1,4,2,3,1,3,1,4,6,5,1.5,4,6.25,3.916666667,5.333333333,2.833333333,5.833333333,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,4.4,0,3
18,70,0,7,18,5,1,2,1,1,3,1,1,3,0.4924097,4,4,4,3,5,6,5,1,2,3,4,5,5,2,3,1,1,2,2,0,1,0,0,8,5,7,5,4,4,4,1,6,6,2,2,6,7,4,1,5,2,5,5,4,3,2,1,7,7,2,2,7,6,1,1,1,3,4,2,6,4,4,4,4,4,4,1,4,4,4,1,2,1,1,2,2,2,2,2,2,2,2,7,2,5,3,3,3,4,3,5,2,2,2,3,4,4,0,1,1.5,5.25,4,3.5,2.75,4.833333333,0.75,-3.75,1.5,2,2,2.833333333,1,1,1,2,1.5,2,1,3,6,4,5,1.75,3.5,4.75,3.333333333,1,4.333333333,3,0,1,1,0,0,0,0,2,1,1,1,2,1,0,1,2.6,1,2
19,74,1,2,18,8,1,2,1,1,3,1,1,5,0.698173419,5,4,5,5,5,5,6,1,3,6,4,6,5,5,3,1,3,4,2,0,1,0,0,6,4,5,6,4,4,3,5,1,2,1,1,7,7,5,4,3,2,6,6,5,3,6,5,5,5,6,5,5,5,5,5,1,5,6,3,5,2,5,2,1,6,6,2,2,5,1,6,2,1,2,2,2,2,2,2,5,1,7,7,0,4,3,3,3,3,3,5,6,7,5,3,5,2,0,1,2.75,5.25,4.5,5,3.75,5,1.25,-2.5,3.5,7,6,4.833333333,3,3,3,3,4.25,1,1,5,6,3,5,1,5,5,3.666666667,3.666666667,2.833333333,4.333333333,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0.666666667,5.2,1,-1
20,69,1,4,3,3,1,2,1,1,1,2,2,6,1.57490009,3,4,4,4,3,3,5,2,2,4,4,3,3,3,2,2,3,3,4,0,0,0,1,7,3,5,6,2,3,3,2,5,5,3,4,4,5,5,5,3,3,5,5,3,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,3,2,4,6,2,3,5,3,4,2,2,2,1,2,2,2,2,3,4,5,5,4,5,3,3,3,3,3,3,5,5,5,5,4,4,0,1,2.5,3,3.5,4,3,3.166666667,1,-0.5,3,3,3,2.666666667,3,3,3,3,3.75,4,3,5,5,5,4,3.5,5,4.75,4.416666667,5,3.666666667,4,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,4.8,1,-1
21,77,1,3,18,12,1,2,1,1,1,1,1,5,0.489456615,3,4,6,6,5,3,3,2,4,6,6,5,3,3,3,5,3,5,4,0,0,0,1,7,8,9,7,5,5,4,5,3,6,2,4,5,5,7,5,1,2,5,7,3,5,5,5,5,5,3,4,5,2,7,5,5,4,5,5,7,4,4,4,2,5,7,3,5,5,3,7,2,2,2,2,2,2,1,2,5,3,6,3,6,6,5,3,3,1,1,4,5,5,5,4,3,1,0,1,4.25,4,3.5,6,2.75,3.833333333,3.25,0.25,4,5,2,4.333333333,3,3,3,6,4,3,3,7,6,5,3,3,6.25,5,4.75,5.666666667,4.666666667,4.666666667,0,0,0,0,0,0,1,0,0,1,1,-1,-1,2,0,4.4,0.666666667,2
22,86,1,8,5,6,1,2,1,1,1,2,2,5,0.97728353,5,5,4,5,5,5,5,4,6,5,5,5,6,4,4,4,2,3,1,1,0,0,0,10,6,6,8,4,6,6,5,1,1,4,4,3,6,6,4,3,4,6,5,1,1,5,4,4,6,6,7,3,4,5,6,6,4,7,5,6,4,6,2,4,4,7,5,4,4,6,2,1,1,2,2,2,2,2,2,6,4,6,5,5,8,1,3,2,3,4,1,2,5,4,4,4,1,0,1,3.75,5.25,5,4.75,4.25,5.166666667,0.5,-1.5,2.5,7,7,5.833333333,4,2,5,4,4.625,5,2,5,4,7,7,3.75,4.75,6.25,4.916666667,5.666666667,4.833333333,4.166666667,1,1,0,0,0,0,0,2,-1,1,-2,1,2,-1,0.666666667,3.8,-0.666666667,-2
23,56,0,4,18,13,1,2,2,0,3,1,1,2,0.474754572,6,6,3,2,5,5,5,2,6,5,3,5,4,5,5,6,6,6,1,1,0,0,0,10,9,9,5,4,5,6,2,2,6,2,2,6,7,2,1,6,4,4,3,4,4,4,2,6,5,3,3,6,5,3,1,2,4,4,5,6,2,2,6,2,4,7,1,4,3,4,4,1,2,1,1,2,1,2,2,2,1,5,7,1,2,5,4,4,3,3,3,2,3,3,5,4,3,0,1,6,4.75,6,3.25,4.25,5.166666667,-1,1.25,6,6,2,4.166666667,2,3,2,3,2.75,2,1,2,4,4,4,1.75,2.25,3.75,2.583333333,2,4.833333333,2.666666667,1,0,1,1,0,1,0,4,0,2,2,1,1,1,1,3.4,1.333333333,4
24,75,1,10,11,10,1,2,2,0,6,1,1,4,0.568489498,5,5,3,4,4,4,5,2,3,4,4,4,5,3,3,3,3,4,2,0,1,0,0,11,9,11,4,6,5,5,3,5,6,3,3,5,6,4,3,5,4,5,5,4,4,4,3,5,5,4,4,5,5,3,2,3,3,5,2,7,1,1,7,1,1,7,1,7,1,6,1,2,1,1,1,2,1,2,2,4,2,6,5,4,4,3,3,4,4,4,3,5,5,5,5,5,4,0,1,3.25,4.25,5,3.75,3.25,4.5,0.5,-1,3.5,3,2,4,3,3,3,3,3.375,3,2,3,4,4,4,2.75,3.5,4.5,3.583333333,2.666666667,5.833333333,1,0,1,1,1,0,1,0,4,1,1,2,2,2,1,1.666666667,5,1.333333333,7
25,59,0,7,11,5,2,2,2,0,3,1,1,5,0.417676662,5,5,6,6,5,6,6,3,1,6,5,5,5,2,4,1,1,1,3,0,0,1,0,11,9,10,2,4,4,4,4,4,4,1,1,6,7,6,4,2,1,1,1,7,1,1,1,7,7,6,1,6,6,1,1,1,7,7,6,7,1,1,7,7,1,7,1,7,1,7,1,1,1,1,2,2,2,2,2,6,1,4,5,0,2,3,3,3,3,3,3,4,2,2,4,1,1,0,0,1,5.25,5,5.75,3.75,5.166666667,2,-4.25,1,4,4,4,1,1,2,2,1.875,2,1,6,7,1,7,1.25,5.75,2.5,3.166666667,1,7,1,1,1,1,0,0,0,0,3,1,1,1,1,1,1,1,2.6,1,8
26,74,1,7,16,6,2,2,1,1,2,3,2,4,0.845670105,5,6,6,6,6,6,5,3,5,5,4,6,6,1,3,1,1,2,4,0,0,0,1,9,4,8,3,6,6,4,7,4,4,2,1,4,7,6,1,1,2,3,4,6,7,1,1,7,5,1,1,7,7,1,1,1,1,2,1,6,3,5,4,3,4,7,2,4,1,7,1,1,1,2,2,2,1,2,2,6,2,5,2,3,3,3,4,2,4,3,4,5,7,1,6,3,6,1,0,2.25,6,5.5,5.25,3,5.833333333,2.25,-3.75,1.5,4,4,5.166666667,1,3,1,1,1.25,4,1,7,6,2,1,2,5,2.5,3.166666667,1,5.166666667,2.666666667,1,1,0,0,0,1,0,3,1,2,-2,2,1,2,1.666666667,4.4,0.333333333,5
27,70,0,2,16,7,1,2,1,1,5,1,1,3,0.543199698,5,5,2,1,4,6,6,3,2,3,1,3,6,4,5,1,2,3,4,0,0,0,1,11,8,9,2,1,2,1,1,6,6,1,2,6,6,1,1,6,5,1,2,5,6,2,1,6,7,2,1,6,6,2,1,1,3,6,1,7,1,1,7,6,2,7,1,4,2,4,1,2,1,1,2,2,1,2,2,5,1,5,6,2,0,4,4,4,4,2,3,2,4,3,4,3,2,1,1,2,4.75,5,1.75,4.5,4.833333333,-2.75,-2.75,2.5,2,2,1.5,2,1,2,2,1.625,2,2,2,3,3,2,1.75,1.75,2,1.833333333,1.333333333,5.833333333,1.333333333,0,1,1,0,0,1,0,3,2,2,2,2,-2,1,0.333333333,3.2,2,7
28,82,1,2,18,6,1,2,2,1,1,2,1,5,0.598520355,6,6,6,6,6,6,6,2,3,6,2,6,6,5,4,3,5,4,1,1,0,0,0,4,2,7,7,5,5,6,5,5,5,3,3,5,5,5,4,4,3,3,2,4,3,5,3,2,4,3,3,5,6,4,6,3,2,6,4,5,5,5,2,2,5,6,1,2,2,2,5,1,2,1,1,2,1,2,2,3,2,7,5,7,7,3,3,3,3,3,4,3,3,2,3,1,2,0,1,3.75,6,6,5,4.25,6,0.75,-2.25,4.5,3,3,4.5,6,4,3,2,3.625,3,3,4,5,4,5,3,4.5,3.5,3.666666667,4.333333333,3.166666667,3.833333333,1,0,1,1,0,1,0,4,1,1,1,1,1,2,1.333333333,2.4,1,0
29,68,0,1,1,4,1,2,1,1,7,2,2,8,0.746436171,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,9,5,11,8,3,3,1,1,3,7,4,3,4,5,6,6,4,4,4,4,5,4,5,1,6,6,5,4,6,5,3,4,5,5,7,4,2,4,4,5,4,5,7,4,5,4,4,5,1,1,2,1,2,2,2,2,3,4,7,8,9,7,3,3,1,1,3,1,5,5,5,6,4,6,0,1,3,3,3,3,3,3,0,0,3,5,1,2.333333333,2,2,2,3,3,4,3,4,4,3,4,3.5,5,3.75,4.083333333,4,4.5,4.333333333,1,1,0,1,0,0,0,3,1,1,-1,-1,1,-1,-0.333333333,5,0.333333333,3
