model,condition,agent_id,llm_letter,llm_numeric,real_numeric,error,abs_error,exact_match,ordinal_score
gemini-3.1-pro,3P,1604.0,E,1,-2,3,3,0,0.5
gemini-3.1-pro,3P,1106.0,A,-3,0,-3,3,0,0.5
gemini-3.1-pro,3P,762.0,B,-2,2,-4,4,0,0.33333333333333337
gemini-3.1-pro,3P,191.0,F,2,2,0,0,1,1.0
gemini-3.1-pro,3P,941.0,G,3,2,1,1,0,0.8333333333333334
gemini-3.1-pro,3P,179.0,A,-3,1,-4,4,0,0.33333333333333337
gemini-3.1-pro,3P,1189.0,F,2,-1,3,3,0,0.5
gemini-3.1-pro,3P,1406.0,B,-2,-3,1,1,0,0.8333333333333334
gemini-3.1-pro,3P,1332.0,G,3,0,3,3,0,0.5
gemini-3.1-pro,3P,710.0,A,-3,0,-3,3,0,0.5
gemini-3.1-pro,3P,1114.0,G,3,-1,4,4,0,0.33333333333333337
gemini-3.1-pro,3P,1526.0,G,3,-1,4,4,0,0.33333333333333337
gemini-3.1-pro,3P,1768.0,F,2,0,2,2,0,0.6666666666666667
gemini-3.1-pro,3P,1062.0,A,-3,-3,0,0,1,1.0
gemini-3.1-pro,3P,496.0,G,3,-3,6,6,0,0.0
gemini-3.1-pro,3P,1277.0,B,-2,0,-2,2,0,0.6666666666666667
claude-sonnet-4-6,1P,1729.0,G,3,1,2,2,0,0.6666666666666667
claude-sonnet-4-6,1P,1293.0,B,-2,-3,1,1,0,0.8333333333333334
claude-sonnet-4-6,1P,509.0,G,3,-2,5,5,0,0.16666666666666663
claude-sonnet-4-6,1P,143.0,G,3,3,0,0,1,1.0
claude-sonnet-4-6,1P,1780.0,E,1,3,-2,2,0,0.6666666666666667
claude-sonnet-4-6,1P,973.0,F,2,2,0,0,1,1.0
claude-sonnet-4-6,1P,1088.0,F,2,0,2,2,0,0.6666666666666667
claude-sonnet-4-6,1P,364.0,F,2,3,-1,1,0,0.8333333333333334
claude-sonnet-4-6,1P,1069.0,D,0,0,0,0,1,1.0
claude-sonnet-4-6,1P,1334.0,G,3,3,0,0,1,1.0
claude-sonnet-4-6,1P,807.0,F,2,-3,5,5,0,0.16666666666666663
claude-sonnet-4-6,1P,511.0,G,3,2,1,1,0,0.8333333333333334
claude-sonnet-4-6,1P,1907.0,E,1,-3,4,4,0,0.33333333333333337
claude-sonnet-4-6,1P,463.0,G,3,3,0,0,1,1.0
claude-sonnet-4-6,1P,1604.0,E,1,-2,3,3,0,0.5
claude-sonnet-4-6,1P,1106.0,B,-2,0,-2,2,0,0.6666666666666667
claude-sonnet-4-6,1P,762.0,F,2,2,0,0,1,1.0
claude-sonnet-4-6,1P,191.0,F,2,2,0,0,1,1.0
claude-sonnet-4-6,1P,941.0,G,3,2,1,1,0,0.8333333333333334
claude-sonnet-4-6,1P,179.0,B,-2,1,-3,3,0,0.5
claude-sonnet-4-6,1P,1189.0,F,2,-1,3,3,0,0.5
claude-sonnet-4-6,1P,1406.0,B,-2,-3,1,1,0,0.8333333333333334
claude-sonnet-4-6,1P,1332.0,G,3,0,3,3,0,0.5
claude-sonnet-4-6,1P,710.0,B,-2,0,-2,2,0,0.6666666666666667
claude-sonnet-4-6,1P,1114.0,B,-2,-1,-1,1,0,0.8333333333333334
claude-sonnet-4-6,1P,1526.0,G,3,-1,4,4,0,0.33333333333333337
claude-sonnet-4-6,1P,1768.0,F,2,0,2,2,0,0.6666666666666667
claude-sonnet-4-6,1P,1062.0,B,-2,-3,1,1,0,0.8333333333333334
claude-sonnet-4-6,1P,496.0,F,2,-3,5,5,0,0.16666666666666663
claude-sonnet-4-6,1P,1277.0,C,-1,0,-1,1,0,0.8333333333333334
claude-sonnet-4-6,3P,1729.0,G,3,1,2,2,0,0.6666666666666667
claude-sonnet-4-6,3P,1293.0,B,-2,-3,1,1,0,0.8333333333333334
claude-sonnet-4-6,3P,509.0,G,3,-2,5,5,0,0.16666666666666663
claude-sonnet-4-6,3P,143.0,G,3,3,0,0,1,1.0
claude-sonnet-4-6,3P,1780.0,F,2,3,-1,1,0,0.8333333333333334
claude-sonnet-4-6,3P,973.0,F,2,2,0,0,1,1.0
claude-sonnet-4-6,3P,1088.0,E,1,0,1,1,0,0.8333333333333334
claude-sonnet-4-6,3P,364.0,F,2,3,-1,1,0,0.8333333333333334
claude-sonnet-4-6,3P,1069.0,F,2,0,2,2,0,0.6666666666666667
claude-sonnet-4-6,3P,1334.0,G,3,3,0,0,1,1.0
claude-sonnet-4-6,3P,807.0,F,2,-3,5,5,0,0.16666666666666663
claude-sonnet-4-6,3P,511.0,G,3,2,1,1,0,0.8333333333333334
claude-sonnet-4-6,3P,1907.0,F,2,-3,5,5,0,0.16666666666666663
claude-sonnet-4-6,3P,463.0,G,3,3,0,0,1,1.0
claude-sonnet-4-6,3P,1604.0,E,1,-2,3,3,0,0.5
claude-sonnet-4-6,3P,1106.0,B,-2,0,-2,2,0,0.6666666666666667
claude-sonnet-4-6,3P,762.0,E,1,2,-1,1,0,0.8333333333333334
claude-sonnet-4-6,3P,191.0,F,2,2,0,0,1,1.0
claude-sonnet-4-6,3P,941.0,G,3,2,1,1,0,0.8333333333333334
claude-sonnet-4-6,3P,179.0,B,-2,1,-3,3,0,0.5
claude-sonnet-4-6,3P,1189.0,F,2,-1,3,3,0,0.5
claude-sonnet-4-6,3P,1406.0,B,-2,-3,1,1,0,0.8333333333333334
claude-sonnet-4-6,3P,1332.0,G,3,0,3,3,0,0.5
claude-sonnet-4-6,3P,710.0,B,-2,0,-2,2,0,0.6666666666666667
claude-sonnet-4-6,3P,1114.0,C,-1,-1,0,0,1,1.0
claude-sonnet-4-6,3P,1526.0,G,3,-1,4,4,0,0.33333333333333337
claude-sonnet-4-6,3P,1768.0,F,2,0,2,2,0,0.6666666666666667
claude-sonnet-4-6,3P,1062.0,B,-2,-3,1,1,0,0.8333333333333334
claude-sonnet-4-6,3P,496.0,G,3,-3,6,6,0,0.0
claude-sonnet-4-6,3P,1277.0,E,1,0,1,1,0,0.8333333333333334
