agent_id,policy_id,ground_truth
381.0,ClimatePolicyID(4),1
381.0,ClimatePolicyID(5),1
381.0,ClimatePolicyID(6),0
1339.0,ClimatePolicyID(1),0
1339.0,ClimatePolicyID(2),0
1339.0,ClimatePolicyID(3),0
1339.0,ClimatePolicyID(4),0
1339.0,ClimatePolicyID(5),0
1339.0,ClimatePolicyID(6),1
828.0,ClimatePolicyID(1),2
828.0,ClimatePolicyID(2),0
828.0,ClimatePolicyID(3),-2
828.0,ClimatePolicyID(4),-3
828.0,ClimatePolicyID(5),-2
828.0,ClimatePolicyID(6),-1
252.0,ClimatePolicyID(1),-1
252.0,ClimatePolicyID(2),-2
252.0,ClimatePolicyID(3),-3
252.0,ClimatePolicyID(4),-2
252.0,ClimatePolicyID(5),-2
252.0,ClimatePolicyID(6),-3
1065.0,ClimatePolicyID(1),3
1065.0,ClimatePolicyID(2),1
1065.0,ClimatePolicyID(3),0
1065.0,ClimatePolicyID(4),3
1065.0,ClimatePolicyID(5),1
1065.0,ClimatePolicyID(6),-2
740.0,ClimatePolicyID(1),3
740.0,ClimatePolicyID(2),3
740.0,ClimatePolicyID(3),3
740.0,ClimatePolicyID(4),3
740.0,ClimatePolicyID(5),3
740.0,ClimatePolicyID(6),0
1373.0,ClimatePolicyID(1),3
1373.0,ClimatePolicyID(2),0
1373.0,ClimatePolicyID(3),-1
1373.0,ClimatePolicyID(4),1
1373.0,ClimatePolicyID(5),1
1373.0,ClimatePolicyID(6),0
1833.0,ClimatePolicyID(1),0
1833.0,ClimatePolicyID(2),0
1833.0,ClimatePolicyID(3),-1
1833.0,ClimatePolicyID(4),0
1833.0,ClimatePolicyID(5),0
1833.0,ClimatePolicyID(6),0
238.0,ClimatePolicyID(1),1
238.0,ClimatePolicyID(2),-3
238.0,ClimatePolicyID(3),-3
238.0,ClimatePolicyID(4),2
238.0,ClimatePolicyID(5),0
238.0,ClimatePolicyID(6),-1
1343.0,ClimatePolicyID(1),2
1343.0,ClimatePolicyID(2),-3
1343.0,ClimatePolicyID(3),-2
1343.0,ClimatePolicyID(4),-2
1343.0,ClimatePolicyID(5),-2
1343.0,ClimatePolicyID(6),-3
416.0,ClimatePolicyID(1),3
416.0,ClimatePolicyID(2),2
416.0,ClimatePolicyID(3),3
416.0,ClimatePolicyID(4),3
416.0,ClimatePolicyID(5),-1
416.0,ClimatePolicyID(6),3
155.0,ClimatePolicyID(1),2
155.0,ClimatePolicyID(2),0
155.0,ClimatePolicyID(3),0
155.0,ClimatePolicyID(4),2
155.0,ClimatePolicyID(5),0
155.0,ClimatePolicyID(6),0
1635.0,ClimatePolicyID(1),1
1635.0,ClimatePolicyID(2),2
1635.0,ClimatePolicyID(3),3
1635.0,ClimatePolicyID(4),3
1635.0,ClimatePolicyID(5),2
1635.0,ClimatePolicyID(6),3
1382.0,ClimatePolicyID(1),1
1382.0,ClimatePolicyID(2),0
1382.0,ClimatePolicyID(3),-2
1382.0,ClimatePolicyID(4),3
1382.0,ClimatePolicyID(5),2
1382.0,ClimatePolicyID(6),1
1535.0,ClimatePolicyID(1),3
1535.0,ClimatePolicyID(2),-1
1535.0,ClimatePolicyID(3),1
1535.0,ClimatePolicyID(4),0
1535.0,ClimatePolicyID(5),1
1535.0,ClimatePolicyID(6),1
1404.0,ClimatePolicyID(1),-2
1404.0,ClimatePolicyID(2),-2
1404.0,ClimatePolicyID(3),-3
1404.0,ClimatePolicyID(4),2
1404.0,ClimatePolicyID(5),-1
1404.0,ClimatePolicyID(6),1
1045.0,ClimatePolicyID(1),3
1045.0,ClimatePolicyID(2),3
1045.0,ClimatePolicyID(3),3
1045.0,ClimatePolicyID(4),3
1045.0,ClimatePolicyID(5),3
1045.0,ClimatePolicyID(6),3
759.0,ClimatePolicyID(1),3
759.0,ClimatePolicyID(2),-3
759.0,ClimatePolicyID(3),0
759.0,ClimatePolicyID(4),2
759.0,ClimatePolicyID(5),2
759.0,ClimatePolicyID(6),0
71.0,ClimatePolicyID(1),0
71.0,ClimatePolicyID(2),0
71.0,ClimatePolicyID(3),-3
71.0,ClimatePolicyID(4),0
71.0,ClimatePolicyID(5),-3
71.0,ClimatePolicyID(6),-3
424.0,ClimatePolicyID(1),1
424.0,ClimatePolicyID(2),0
424.0,ClimatePolicyID(3),-1
424.0,ClimatePolicyID(4),0
424.0,ClimatePolicyID(5),-1
424.0,ClimatePolicyID(6),0
1213.0,ClimatePolicyID(1),2
1213.0,ClimatePolicyID(2),1
1213.0,ClimatePolicyID(3),3
1213.0,ClimatePolicyID(4),3
1213.0,ClimatePolicyID(5),1
1213.0,ClimatePolicyID(6),1
1496.0,ClimatePolicyID(1),2
1496.0,ClimatePolicyID(2),0
1496.0,ClimatePolicyID(3),0
1496.0,ClimatePolicyID(4),1
1496.0,ClimatePolicyID(5),0
1496.0,ClimatePolicyID(6),2
