"source_id","policy_id","side","party_name","speaker","speaker_role","date","venue","citation_url","quote_text","manifesto_or_hansard_ref","notes"
"A_03_01","3","A","Green Party of England and Wales","Carla Denyer & Adrian Ramsay","Co-Leaders","2024-06-12","Green Party Manifesto 'Real Hope. Real Change'","https://www.local.gov.uk/about/campaigns/general-election-hub/green-party-manifesto","An end to sales of new petrol and diesel fuelled vehicles by 2027 and to the use of petrol and diesel vehicles on the road by 2035.","Green Party Manifesto 2024",""
"A_03_02","3","A","Green Party of England and Wales","Carla Denyer & Adrian Ramsay","Co-Leaders","2024-06-12","Green Party Manifesto 'Real Hope. Real Change'","https://www.local.gov.uk/about/campaigns/general-election-hub/green-party-manifesto","Within a decade we want to see all petrol and diesel vehicles replaced by Electric Vehicles (EVs). We would push for an extensive vehicle scrappage scheme to support this rapid transition","Green Party Manifesto 2024",""
"B_04_01","4","B","Reform UK","Lee Anderson","Reform MP","2025-01-13","Parliamentary Speech (Hansard)","https://hansard.parliament.uk/commons/2025-01-13/debates/6a437f7f-d596-4ea6-b3e3-d42e8df22d01/DraftCleanHeatMarketMechanismRegulations2024","The cost of installing a heat pump is about three times that of installing a new gas boiler. That is before considering the extra hidden costs... such as more insulation.","Hansard 2025-01-13 - Draft Clean Heat Market Mechanism Regulations 2024",""
"B_04_02","4","B","Reform UK","Nigel Farage","Leader","2024-06-17","Reform UK Manifesto 'Our Contract with You'","","The economy isn't growing. It is being wrecked by record taxes, wasteful government spending and nanny state regulations. [...] Britain has a housing crisis.","Reform UK: Our Contract with You",""
"A_04_01","4","A","Green Party of England and Wales","Carla Denyer & Adrian Ramsay","Co-Leaders","2024-06-12","Green Party Manifesto 'Real Hope. Real Change'","https://www.dsc.org.uk/wp-content/uploads/2024/06/Manifesto-Mashup-General-Election-2024-FINAL.pdf","Make homes warmer and cheaper to heat with a ten-year emergency upgrade programme, starting with free insulation and heat pumps for those on low incomes, and ensure that all new homes are zero-carbon.","Green Party Manifesto 2024",""
"A_04_02","4","A","Green Party of England and Wales","Carla Denyer & Adrian Ramsay","Co-Leaders","2024-06-12","Green Party Manifesto 'Real Hope. Real Change'","https://www.ciob.org/industry/politics-government/campaigns/UK-General-Election/what-UK-election-manifestos-mean-built-environment","Campaigning to change building regulations so that all new homes meet Passivhaus or equivalent standards.","Green Party Manifesto 2024",""
"B_05_01","5","B","Reform UK","Richard Tice","Deputy Leader","2025-12-11","Parliamentary Speech (Hansard) - Oil Refining Sector","https://hansard.parliament.uk/Commons/2025-12-11/debates/7496C0EF-CD26-4B20-985A-8B8CDA12EEFF/OilRefiningSector","The soaring carbon tax is crippling the refining sector. Will the Minister explain how refineries are supposed to survive when the Government are planning to increase the carbon tax between now and 2050?","Hansard 2025-12-11",""
"B_05_02","5","B","Reform UK","Richard Tice","Deputy Leader","2025-11-12","Parliamentary Speech (Hansard) - Energy","https://hansard.parliament.uk/commons/2025-11-12/debates/405C1215-88FD-4C29-B774-77155B86F954/Energy","Our cheap power plan would cut electricity bills for everyone by 20%, and under it, we take a common-sense approach to British energy.","Hansard 2025-11-12",""
"A_05_01","5","A","Green Party of England and Wales","Carla Denyer & Adrian Ramsay","Co-Leaders","2024-06-12","Green Party Manifesto 'Real Hope. Real Change'","https://www.tax.org.uk/election-2024-greens-manifesto","Introduce a carbon tax on all fossil fuel imports and domestic extraction, based on greenhouse gas emissions produced when fuel is burned... set initially at GBP 120 per tonne of carbon emitted.","Green Party Manifesto 2024","GBP substituted for ASCII safety."
"A_05_02","5","A","Green Party of England and Wales","Carla Denyer & Adrian Ramsay","Co-Leaders","2024-06-12","Green Party Manifesto 'Real Hope. Real Change'","https://www.local.gov.uk/about/campaigns/general-election-hub/green-party-manifesto","A carbon tax to make polluters pay and provide money to invest in the green transition.","Green Party Manifesto 2024","Stance is Mixed/Conditional vs the survey's dividend framing: Green Party supports the tax but redirects revenue to green investment and public services rather than a per-person dividend."
"B_06_01","6","B","Reform UK","Richard Tice","Deputy Leader","2026-01-08","Interview with Politico","https://subscriber.politicopro.com/article/eenews/2026/01/08/farage-deputy-says-uk-should-follow-trump-and-quit-un-climate-bodies-00716058","[UN climate bodies] are deeply flawed, unaccountable and expensive institutions.","Politico interview 2026-01-08","Bracket inserted to make grammatical sense without the elided subject."
"B_06_02","6","B","Reform UK","Nigel Farage","Leader","2024-06-17","Reform UK Manifesto 'Our Contract with You'","","We are ruled by an out-of-touch political class who have turned their backs on our country... Cut foreign aid by 50%.","Reform UK: Our Contract with You",""
"A_06_01","6","A","Green Party of England and Wales","Carla Denyer","Co-Leader","2024-09-10","Parliamentary Speech (Hansard)","https://hansard.parliament.uk/pdf/commons/2024-09-10","We need to come to an honest agreement on how much we can commit financially to repairing the damage done to many developing nations. I am confident that... this Government will stick to the agreement.","Hansard 2024-09-10",""
"A_06_02","6","A","Green Party of England and Wales","Carla Denyer","Co-Leader","2024-10-30","Parliamentary Speech (Hansard)","https://hansard.parliament.uk/pdf/commons/2024-10-30","We need to ensure that we are not storing up further problems for the future by providing climate finance in the form of loans, which make things harder for the poorest people in the poorest countries.","Hansard 2024-10-30",""
