agent_id,policy_id,letter,llm,gt,err,abs_err,exact,ordinal
1450.0,ClimatePolicyID(3),F,2,2,0,0,1,1
1450.0,ClimatePolicyID(4),G,3,3,0,0,1,1
1450.0,ClimatePolicyID(5),G,3,1,2,2,0,0
1450.0,ClimatePolicyID(6),G,3,2,1,1,0,1
579.0,ClimatePolicyID(1),F,2,2,0,0,1,1
579.0,ClimatePolicyID(2),F,2,2,0,0,1,1
579.0,ClimatePolicyID(3),E,1,2,-1,1,0,1
579.0,ClimatePolicyID(4),F,2,2,0,0,1,1
579.0,ClimatePolicyID(5),F,2,2,0,0,1,1
579.0,ClimatePolicyID(6),F,2,-1,3,3,0,0
